cliente_id,fecha,monto,sentido,instrumento,canal,contraparte,pais_contraparte,referencia
CL001,2026-03-02,257719.86,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-03-09,216203.80,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-03-16,336224.27,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-03-23,197384.71,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-03-30,308611.68,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-04-06,267765.34,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-04-13,193919.74,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-04-20,301784.58,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-04-27,188998.96,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-05-04,284074.96,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-05-11,196765.30,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-05-18,201771.12,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-05-25,281884.61,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-06-01,378444.51,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-06-08,209712.47,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-06-15,233577.35,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-06-22,330583.97,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
CL001,2026-06-29,407450.15,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
