cliente_id,fecha,monto,sentido,instrumento,canal,contraparte,pais_contraparte,referencia
AR005,2026-03-02,44067.73,EGRESO,EFECTIVO,PRESENCIAL,Proveedor,Chile,
AR006,2026-03-02,337604.80,INGRESO,CHEQUE,ELECTRONICO,Mayorista del rubro,Argentina,
AR007,2026-03-02,723375.27,EGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
AR010,2026-03-02,127231.68,EGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR013,2026-03-02,2361617.45,INGRESO,CHEQUE,ELECTRONICO,Transferencia recibida,Argentina,
AR016,2026-03-02,818074.80,INGRESO,EFECTIVO,PRESENCIAL,Proveedor,Chile,
AR025,2026-03-02,2701545.68,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR001,2026-03-03,240129.14,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR002,2026-03-03,260591.42,INGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR004,2026-03-03,119764.80,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR007,2026-03-03,881292.37,EGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR010,2026-03-03,89091.86,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR017,2026-03-03,277394.91,EGRESO,EFECTIVO,PRESENCIAL,Cobro de honorarios,Argentina,
AR027,2026-03-03,9897420.60,INGRESO,EFECTIVO,PRESENCIAL,Mayorista del rubro,Argentina,
AR003,2026-03-04,182886.65,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR004,2026-03-04,113369.54,INGRESO,EFECTIVO,PRESENCIAL,Cobro de honorarios,Argentina,
AR004,2026-03-04,131877.46,INGRESO,EFECTIVO,PRESENCIAL,Cobro de honorarios,Argentina,
AR005,2026-03-04,49119.00,INGRESO,EFECTIVO,PRESENCIAL,Cliente minorista,Argentina,
AR010,2026-03-04,100771.75,INGRESO,TRANSFERENCIA,ELECTRONICO,Importador,Brasil,
AR024,2026-03-04,340463.28,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR010,2026-03-05,108578.52,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR015,2026-03-05,704867.03,EGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR019,2026-03-05,262621.43,EGRESO,CHEQUE,ELECTRONICO,Cliente minorista,Argentina,
AR021,2026-03-05,491936.55,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR021,2026-03-05,520289.89,INGRESO,EFECTIVO,PRESENCIAL,Cobro de honorarios,Argentina,
AR034,2026-03-05,7574536.16,EGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR003,2026-03-06,172890.13,EGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR006,2026-03-06,381919.87,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR014,2026-03-06,948397.08,EGRESO,CHEQUE,ELECTRONICO,Cobro de honorarios,Argentina,
AR015,2026-03-06,956580.53,INGRESO,CHEQUE,ELECTRONICO,Cliente minorista,Argentina,
AR015,2026-03-06,422356.68,INGRESO,CHEQUE,ELECTRONICO,Cliente minorista,Argentina,
AR017,2026-03-06,267145.81,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR018,2026-03-06,273923.25,EGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR020,2026-03-06,124139.91,EGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR022,2026-03-06,99309.27,EGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR022,2026-03-06,50274.05,INGRESO,EFECTIVO,PRESENCIAL,Mayorista del rubro,Argentina,
AR029,2026-03-06,1315766.87,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR031,2026-03-06,1793241.98,INGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR031,2026-03-06,3469023.54,INGRESO,CHEQUE,ELECTRONICO,Proveedor local,Argentina,
AR032,2026-03-06,1400489.70,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR035,2026-03-06,2824477.67,INGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR013,2026-03-07,1644959.01,INGRESO,CHEQUE,ELECTRONICO,Importador,Brasil,
AR013,2026-03-07,1643963.56,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR016,2026-03-07,1022436.88,INGRESO,EFECTIVO,PRESENCIAL,Servicios contratados,Argentina,
AR018,2026-03-07,257440.22,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR019,2026-03-07,288654.39,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR020,2026-03-07,198884.72,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR024,2026-03-07,289609.96,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR029,2026-03-07,1146668.88,EGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR030,2026-03-07,4667179.84,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
AR032,2026-03-07,908392.87,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR032,2026-03-07,963079.91,EGRESO,CHEQUE,ELECTRONICO,Cliente minorista,Argentina,
AR003,2026-03-08,278717.90,INGRESO,CHEQUE,ELECTRONICO,Transferencia recibida,Argentina,
AR010,2026-03-08,149411.17,INGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR034,2026-03-08,9404539.81,INGRESO,CHEQUE,ELECTRONICO,Proveedor local,Argentina,
AR007,2026-03-09,1098067.89,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR008,2026-03-09,78561.23,INGRESO,CHEQUE,ELECTRONICO,Comitente,Uruguay,
AR013,2026-03-09,2630604.44,INGRESO,CHEQUE,ELECTRONICO,Transferencia recibida,Argentina,
AR016,2026-03-09,1030711.27,INGRESO,EFECTIVO,PRESENCIAL,Mayorista del rubro,Argentina,
AR004,2026-03-10,211201.08,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR008,2026-03-10,133960.36,INGRESO,CHEQUE,ELECTRONICO,Servicios contratados,Argentina,
AR011,2026-03-10,154421.52,INGRESO,EFECTIVO,PRESENCIAL,Cliente minorista,Argentina,
AR014,2026-03-10,706660.44,INGRESO,EFECTIVO,PRESENCIAL,Servicios contratados,Argentina,
AR014,2026-03-10,805760.74,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR020,2026-03-10,105098.62,INGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR021,2026-03-10,247848.03,EGRESO,EFECTIVO,PRESENCIAL,Cliente minorista,Argentina,
AR022,2026-03-10,75300.71,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR023,2026-03-10,1701303.45,INGRESO,CHEQUE,ELECTRONICO,Proveedor local,Argentina,
AR027,2026-03-10,11613977.78,EGRESO,EFECTIVO,PRESENCIAL,Cliente minorista,Argentina,
AR030,2026-03-10,2842346.64,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR014,2026-03-11,635417.89,EGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR017,2026-03-11,349068.22,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR028,2026-03-11,884019.33,INGRESO,CHEQUE,ELECTRONICO,Proveedor local,Argentina,
AR005,2026-03-12,34263.57,INGRESO,EFECTIVO,PRESENCIAL,Transferencia recibida,Argentina,
AR006,2026-03-12,335112.03,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
AR006,2026-03-12,379897.26,INGRESO,EFECTIVO,PRESENCIAL,Mayorista del rubro,Argentina,
AR016,2026-03-12,1113858.13,INGRESO,CHEQUE,ELECTRONICO,Cobro de honorarios,Argentina,
AR021,2026-03-12,310998.66,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR003,2026-03-13,156332.78,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR007,2026-03-13,924758.49,EGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR014,2026-03-13,563090.72,INGRESO,CHEQUE,ELECTRONICO,Cobro de honorarios,Argentina,
AR015,2026-03-13,640601.06,EGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR020,2026-03-13,205503.18,EGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR022,2026-03-13,56713.78,INGRESO,CHEQUE,ELECTRONICO,Mayorista del rubro,Argentina,
AR024,2026-03-13,369123.59,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR035,2026-03-13,2672587.80,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR005,2026-03-14,62376.69,INGRESO,EFECTIVO,PRESENCIAL,Cobro de honorarios,Argentina,
AR006,2026-03-14,364478.51,EGRESO,CHEQUE,ELECTRONICO,Cliente minorista,Argentina,
AR007,2026-03-14,1048121.91,INGRESO,CHEQUE,ELECTRONICO,Cobro de honorarios,Argentina,
AR009,2026-03-14,69905.92,EGRESO,TRANSFERENCIA,ELECTRONICO,Cliente minorista,Argentina,
AR033,2026-03-14,2780416.85,INGRESO,CHEQUE,ELECTRONICO,Servicios contratados,Argentina,
AR004,2026-03-15,178613.93,INGRESO,CHEQUE,ELECTRONICO,Proveedor local,Argentina,
AR023,2026-03-15,2733149.93,INGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR025,2026-03-15,2311005.88,EGRESO,EFECTIVO,PRESENCIAL,Cliente minorista,Argentina,
AR033,2026-03-15,3014944.12,EGRESO,CHEQUE,ELECTRONICO,Cliente minorista,Argentina,
AR002,2026-03-16,173810.81,EGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR008,2026-03-16,125930.77,EGRESO,TRANSFERENCIA,ELECTRONICO,Cobro de honorarios,Argentina,
AR012,2026-03-16,1254873.60,INGRESO,TRANSFERENCIA,ELECTRONICO,Proveedor local,Argentina,
AR016,2026-03-16,1133082.36,INGRESO,TRANSFERENCIA,ELECTRONICO,Importador,Brasil,
AR025,2026-03-16,2229756.10,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR030,2026-03-16,3160893.68,INGRESO,TRANSFERENCIA,ELECTRONICO,Servicios contratados,Argentina,
AR005,2026-03-17,57625.98,INGRESO,EFECTIVO,PRESENCIAL,Cobro de honorarios,Argentina,
AR018,2026-03-17,254353.99,INGRESO,TRANSFERENCIA,ELECTRONICO,Transferencia recibida,Argentina,
AR019,2026-03-17,543901.41,INGRESO,CHEQUE,ELECTRONICO,Comitente,Uruguay,
AR020,2026-03-17,185560.47,EGRESO,TRANSFERENCIA,ELECTRONICO,Mayorista del rubro,Argentina,
AR027,2026-03-17,6469101.84,INGRESO,EFECTIVO,PRESENCIAL,Mayorista del rubro,Argentina,
